久爱致和（北京）科技有限公司,5589683,数据分析员,本科,1年以下,5k-7k,北京,150-500人,上市公司,"上市公司,六险一金,年度旅游,年度体检",1天前发布
广东省电信规划设计院有限公司,5296734,数据分析师,本科,1-3年,6k-9k,广州,2000人以上,上市公司,"博士带队,博士导师,5天7小时,氛围好",1天前发布
北京刷刷看网络科技有限公司,5779714,数据分析,本科,3-5年,14k-25k,北京,50-150人,A轮,五险一金 发展空间大,1天前发布
北京自如友家资产管理有限公司,5869894,数据分析师,本科,1-3年,8k-15k,北京,2000人以上,A轮,租房优惠 六险一金 绩效奖金 免费体检,1天前发布
杭州智屏电子商务有限公司,5288845,数据分析,本科,3-5年,10k-20k,杭州,50-150人,不需要融资,六险一金 带薪年假,1天前发布
上海驰骛信息科技有限公司,5690955,数据分析师（数据运营）,本科,3-5年,10k-20k,上海,50-150人,A轮,五险一金补充商保免费零食免费晚餐年度体检,1天前发布
思凯思特（北京）科技有限公司,5760257,数据分析师,本科,1-3年,15k-25k,北京,150-500人,上市公司,"六险一金,带薪假期,工作居住证,外资团队",1天前发布
北京希为科技有限公司,5906062,数据分析师（ETL方向）,本科,1-3年,10k-15k,深圳,50-150人,不需要融资,"发展空间,各种福利",1天前发布
武汉悦然心动网络科技有限公司,5648547,数据分析师,不限,不限,10k-20k,武汉,150-500人,上市公司,带薪出国游；千万级用户,1天前发布
北京美至网络科技有限公司,4328277,数据分析师,本科,1-3年,15k-20k,上海,50-150人,A轮,"团队氛围好,挑战与学习,办公环境好",1天前发布
