职位名称,公司全名,公司简称,公司规模,城市,区域,工作经验,学历要求,工资,融资阶段,职位福利
Java技术经理（电商平台卡券系统）,珠海随变科技有限公司,必要商城,150-500人,北京,朝阳区,5-10年,本科,30k-50k,不需要融资,独角兽电商；盈利电商；团队管理
高级Java开发工程师,树根互联技术有限公司,树根互联技术有限公司,150-500人,北京,海淀区,5-10年,本科,25k-30k,A轮,福利多
java开发-集团应用一组,泰康保险集团股份有限公司,泰康保险集团,2000人以上,北京,昌平区,5-10年,本科,15k-30k,不需要融资,世界500强 福利优厚 前景广阔
Java高级开发工程师,北京魔力耳朵科技有限公司,魔力耳朵,500-2000人,北京,朝阳区,5-10年,本科,30k-40k,B轮,"六险一金,奖金丰厚,弹性工作制,大牛团队"
高级Java开发工程师,北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,北京,海淀区,3-5年,本科,20k-35k,上市公司,"弹性工作,工作氛围好,发展空间大,福利待遇好"
高级Java工程师,北京默契破冰科技有限公司,玩吧,150-500人,北京,东城区,5-10年,本科,25k-45k,B轮,"七险一金,弹性不打卡,免费午餐,季度旅游"
java高级开发工程师,北京京东世纪贸易有限公司,京东集团,2000人以上,北京,通州区,5-10年,本科,20k-40k,上市公司,广告技术，亿级高并发系统，引擎，大数据
Java技术经理,珠海随变科技有限公司,必要商城,150-500人,北京,朝阳区,5-10年,本科,20k-35k,不需要融资,"盈利平台,电商独角兽,财务自由,千万级用户"
高级java开发工程师—学历学信网可查,北京广通信达软件股份有限公司杭州分公司,广通软件,150-500人,北京,海淀区,5-10年,本科,20k-30k,上市公司,"技术驱动,大牛多,领导赞,扁平管理"
高级java开发工程师,网宿科技股份有限公司北京分公司,网宿科技,2000人以上,北京,海淀区,5-10年,本科,20k-35k,上市公司,上市公司 优势领域 核心部门 技术大牛
Java服务端开发工程师,北京拉勾网络技术有限公司,拉勾网,500-2000人,北京,海淀区,3-5年,本科,18k-36k,D轮及以上,"技术大牛,大数据,高成长,发展空间"
java技术专家,北京颐顺太和软件科技有限公司,新东方,2000人以上,北京,海淀区,5-10年,本科,25k-45k,上市公司,平台大 福利待遇好 团队氛围好
高级java开发工程师（收单）,北京畅捷通支付技术有限公司,畅捷支付,150-500人,北京,海淀区,5-10年,本科,18k-35k,不需要融资,应用产品开发 团队氛围好 福利待遇好
高级java工程师,北京极智嘉科技有限公司,极智嘉,500-2000人,北京,朝阳区,3-5年,本科,25k-45k,B轮,世界领先物流AI机器人公司
中级Java开发工程师（支付）,北京四达时代软件技术股份有限公司,四达时代集团,2000人以上,北京,大兴区,3-5年,本科,15k-25k,上市公司,"多业务平台,美式办公,薪酬福利好,晋升空间大"
高级JAVA开发工程师（团结湖）,信和惠民投资管理（北京）有限公司,信和财富,2000人以上,北京,朝阳区,5-10年,本科,15k-30k,不需要融资,"五险一金,餐补,全勤奖,双休"
高级java开发工程师,北京互动百科网络技术股份有限公司,互动百科,150-500人,北京,海淀区,5-10年,本科,15k-25k,上市公司,带薪年假 团队稳定 五险一金
高级java工程师,北京搜狐新媒体信息技术有限公司,搜狐集团,2000人以上,北京,海淀区,3-5年,本科,20k-35k,上市公司,平台大
